Provincia.string()	Municipio.string()	Dirección.string()	Margen.string()	Toma de datos.string()	Precio.double()	Rótulo.string()	Tipo venta.string()	Rem.string()	Horario.string()
PALMAS (LAS)	PALMAS DE GRAN CANARIA (LAS)	AVENIDA DE ESCALERITAS, 112	N	21/12/2016 10:00	0.889	REPSOL	P	OM	L-D: 06:00-22:00
PALMAS (LAS)	PALMAS DE GRAN CANARIA (LAS)	CALLE DIEGO VEGA SARMIENTO, 70	N	20/12/2016 00:00	0.889	DISA EL DRAGON	P	OM	L-S: 06:30-22:30; D: 07:30-21:30
PALMAS (LAS)	PALMAS DE GRAN CANARIA (LAS)	AVENIDA JUAN XXIII, 68	N	20/12/2016 00:00	0.889	DISA JUAN XXIII	P	OM	L: 06:00-22:00
PALMAS (LAS)	PALMAS DE GRAN CANARIA (LAS)	PASEO TOMS MORALES, 94	N	20/12/2016 12:30	0.889	SHELL TOMAS MORALES	P	OM	L-J: 06:30-22:30; V-S: 06:30-23:30; D: 07:00-23:00
PALMAS (LAS)	PALMAS DE GRAN CANARIA (LAS)	CARRETERA GC 200 KM. 16	N	20/12/2016 00:00	0.889	SHELL REHOYAS	P	OM	L-J: 06:00-00:00; V: 06:00-02:00; S: 07:00-02:00; D: 07:00-00:00
SANTA CRUZ DE TENERIFE	ARONA	CARRETERA CTRA GRAL GUAZA TF-66 KM. 79	N	19/12/2016 12:22	0.889	BP OIL ESPAÑA	P	dm	L-D: 24H
PALMAS (LAS)	PALMAS DE GRAN CANARIA (LAS)	CARRETERA LOS TARAHALES KM. S/N	D	20/12/2016 00:00	0.889	DISA TARAHALES I	P	OM	L-D: 24H
PALMAS (LAS)	PALMAS DE GRAN CANARIA (LAS)	CARRETERA LOS TARAHALES KM. S/N	I	20/12/2016 00:00	0.889	SHELL TARAHALES II	P	OM	L-D: 06:00-22:00
SANTA CRUZ DE TENERIFE	REALEJOS (LOS)           	CARRETERA GENERAL DE PALO BLANCO Nº 77 KM. 1	I	15/12/2016 17:32	0.889	CEPSA	P	dm	L-D: 07:00-22:00
SANTA CRUZ DE TENERIFE	SAN MIGUEL               	AUTOPISTA AUTOPISTA DEL SUR KM. 64,9	D	19/12/2016 15:24	0.889	OROTIANDA	P	dm	L-D: 24H
SANTA CRUZ DE TENERIFE	AEROPUERTO REINA SOFIA (SANTA CRUZ DE TENERIFE)	CARRETERA ATOGO KM. 0,5	D	19/12/2016 08:53	0.889	BP	P	dm	L-D: 24H
PALMAS (LAS)	PALMAS DE GRAN CANARIA (LAS)	AVENIDA ESCALERITAS, S/N	D	21/12/2016 00:00	0.889	REPSOL	P	OM	L-D: 24H
SANTA CRUZ DE TENERIFE	REALEJOS (LOS)           	CALLE LOS BARROS, 30	N	21/12/2016 12:10	0.890	PCAN	P	dm	L-D: 24H
SANTA CRUZ DE TENERIFE	GUAMASA                  	CALLE LÁZARO LÓPEZ, 6	I	21/12/2016 05:45	0.890	PCAN	P	dm	L: 06:00-23:00
SANTA CRUZ DE TENERIFE	ARICO	AUTOPISTA AUTOPISTA TENERIFE SUR KM. 44,2	D	21/12/2016 12:11	0.892	PCAN	P	dm	L-D: 24H
SANTA CRUZ DE TENERIFE	LA LAGUNA	CARRETERA TF-12 LAS CANTERAS KM. 0,5	I	21/12/2016 00:00	0.892	TGAS LAS MERCEDES	P	dm	L-S: 07:00-22:00; D: 08:00-21:00
SANTA CRUZ DE TENERIFE	GRANADILLA DE ABONA      	SAN ISIDRO-EL MÉDANO km 9.6	D	21/12/2016 00:00	0.894	CEPSA	P	OM	L-D: 07:00-23:00
SANTA CRUZ DE TENERIFE	VALLE DE SAN LORENZO     	CARRETERA CARRETERA  GENERAL KM. 136	D	21/12/2016 00:00	0.895	CEPSA	P	dm	L-D: 06:00-22:00
SANTA CRUZ DE TENERIFE	CAMELLA(LA)              	CARRETERA CTRA. GENERAL VALLE SAN LORENZO KM. 98,86	N	21/12/2016 11:19	0.895	DISA	P	dm	L-S: 07:00-22:00; D: 07:00-14:00
SANTA CRUZ DE TENERIFE	OROTAVA (LA)             	CARRETERA TF-21 AGUAMANSA KM. 	I	20/12/2016 07:00	0.896	REPSOL BARROSO	P	dm	L-D: 06:00-00:00
SANTA CRUZ DE TENERIFE	GARACHICO                	CR ICOD-BUENAVISTA, KM. 8,9	I	20/12/2016 20:14	0.896	E.S. CEPSA LA CALETA	P	dm	L-D: 06:00-22:00
